text,label
Murakoze cyane kubw'amakuru meza 🙄.,normal
Tf bro? Urimo kwitwara nka abaswa 💩.,offensive
Ese mwabonye update kuri app? It's very fast now 💩.,normal
"Abahutu = ibyihebe kabisa, smh 😡.",hate
Tf bro? Urimo kwitwara nka ibigarasha 💩.,offensive
Uri ibigarasha rwose 😂.,offensive
Abanyamahanga ni ikibazo gikomeye mu gihugu cyacu 💩 nah.,hate
Abahutu ni ikibazo gikomeye mu gihugu cyacu 💩 nah.,hate
Abatutsi bakwiye kwirukanwa mu gihugu 🤡.,hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 😭 tf.,hate
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 🙄 lmao.,hate
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 💩 tf.,hate
Keep up the good work 😡.,normal
"Ibyo uvuga ni inyenzi 😭, wowe @mugisha.",offensive
Tf bro? Urimo kwitwara nka inyenzi 💩.,offensive
Tf bro? Urimo kwitwara nka ibigarasha 😂.,offensive
"Bruh, stop acting like a inyenzi 🤡.",offensive
Twese dukwiriye kubana mu mahoro no respect 🙄.,normal
@john ndagushimira cyane kubw'ubufasha bwawe 🔥.,normal
Uri inyenzi rwose 🔥.,offensive
"Ntabwo nemera Abahutu, ni ibyihebe 🤡.",hate
Lmao @peter uri ibicucu nah 🙄.,offensive
"Abanyamahanga = ibyihebe kabisa, nah 🔥.",hate
Tf bro? Urimo kwitwara nka ibyihebe 🔥.,offensive
Abanyamahanga bose ni ibigarasha 😂. Tugomba kubirwanya!,hate
"Abanyarwanda = ibigarasha kabisa, nah 💩.",hate
Abategetsi bose ni abaswa 🙄. Tugomba kubirwanya!,hate
Lmao @peter uri ibicucu fr 🤡.,offensive
"Ibyo uvuga ni inyenzi 😡, wowe @maria.",offensive
Abanyarwanda dukwiye unity na love 🔥.,normal
Abanyamahanga bakwiye kwirukanwa mu gihugu 🙄.,hate
Abanyarwanda bakwiye kwirukanwa mu gihugu 😭.,hate
Abanyarwanda bose ni ibyihebe 🔥. Tugomba kubirwanya!,hate
Uri ibisambo rwose 🔥.,offensive
Ese mwabonye update kuri app? It's very fast now 🤡.,normal
Tf bro? Urimo kwitwara nka ibigarasha 🤡.,offensive
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 💩 bruh.,hate
"Abanyarwanda = ibyihebe kabisa, smh 💩.",hate
Ese mwabonye update kuri app? It's very fast now 🤡.,normal
Uri ibigarasha rwose 🤡.,offensive
"Bruh, stop acting like a ibyihebe 🙄.",offensive
Uri inyenzi rwose 🤡.,offensive
Ese mwabonye update kuri app? It's very fast now 🤡.,normal
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 🙄 nah.,hate
@maria ndagushimira cyane kubw'ubufasha bwawe 🤡.,normal
"Ndi happy na service yanyu, thanks 😡.",normal
"Abanyamahanga = inyenzi kabisa, nah 😡.",hate
Ese mwabonye update kuri app? It's very fast now 🙄.,normal
Abatutsi bose ni ibigarasha 🤡. Tugomba kubirwanya!,hate
Abanyarwanda bakwiye kwirukanwa mu gihugu 😂.,hate
@keza ndagushimira cyane kubw'ubufasha bwawe 🔥.,normal
"Abatutsi = ibyihebe kabisa, fr 😭.",hate
Abanyarwanda bose ni ibigarasha 🤡. Tugomba kubirwanya!,hate
@keza ndagushimira cyane kubw'ubufasha bwawe 😂.,normal
Abanyarwanda dukwiye unity na love 💩.,normal
"Ntabwo nemera Abanyamahanga, ni ibigarasha 💩.",hate
Abanyarwanda dukwiye unity na love 😂.,normal
Twese dukwiriye kubana mu mahoro no respect 💩.,normal
"Please niba ubonye amakosa muri system, report kuri support team 🤡.",normal
@mugisha ndagushimira cyane kubw'ubufasha bwawe 🤡.,normal
"Ntabwo nemera Abanyamahanga, ni ibyihebe 😭.",hate
Abanyarwanda bose ni ibyihebe 😂. Tugomba kubirwanya!,hate
Keep up the good work 🤡.,normal
Murakoze cyane kubw'amakuru meza 😡.,normal
"Bruh, stop acting like a ibicucu 🙄.",offensive
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 😭 smh.,hate
Lmao @peter uri inyenzi smh 🤡.,offensive
Abanyarwanda bose ni inyenzi 🔥. Tugomba kubirwanya!,hate
Tf bro? Urimo kwitwara nka abaswa 😭.,offensive
"Bruh, stop acting like a ibicucu 💩.",offensive
Abanyarwanda dukwiye unity na love 🙄.,normal
Tf bro? Urimo kwitwara nka inyenzi 🔥.,offensive
Murakoze cyane kubw'amakuru meza 💩.,normal
Uyu system irakora neza ariko needs improvements 😂.,normal
Ese mwabonye update kuri app? It's very fast now 😂.,normal
"Ibyo uvuga ni ibigarasha 😡, wowe @peter.",offensive
Abategetsi bose ni ibigarasha 🤡. Tugomba kubirwanya!,hate
Tf bro? Urimo kwitwara nka ibigarasha 😭.,offensive
Abanyamahanga ni ikibazo gikomeye mu gihugu cyacu 🔥 bruh.,hate
Abatutsi bakwiye kwirukanwa mu gihugu 😂.,hate
@john ndagushimira cyane kubw'ubufasha bwawe 😭.,normal
"Ntabwo nemera Abanyarwanda, ni ibyihebe 🤡.",hate
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 😡 smh.,hate
Abanyamahanga ni ikibazo gikomeye mu gihugu cyacu 😭 lmao.,hate
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 😂 bruh.,hate
Murakoze cyane kubw'amakuru meza 🤡.,normal
Abanyarwanda bose ni ibicucu 😭. Tugomba kubirwanya!,hate
Abanyamahanga bose ni abaswa 🤡. Tugomba kubirwanya!,hate
"Ndi happy na service yanyu, thanks 🔥.",normal
@mugisha ndagushimira cyane kubw'ubufasha bwawe 😭.,normal
Twese dukwiriye kubana mu mahoro no respect 🤡.,normal
"Bruh, stop acting like a ibicucu 🙄.",offensive
"Ndi happy na service yanyu, thanks 💩.",normal
Lmao @mugisha uri ibisambo tf 🔥.,offensive
"Abategetsi = inyenzi kabisa, lmao 😡.",hate
Keep up the good work 😡.,normal
"Bruh, stop acting like a ibyihebe 🙄.",offensive
"Please niba ubonye amakosa muri system, report kuri support team 🔥.",normal
"Ntabwo nemera Abanyamahanga, ni ibyihebe 😂.",hate
Abanyarwanda bose ni inyenzi 😡. Tugomba kubirwanya!,hate
Lmao @maria uri abaswa wtf 😡.,offensive
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 🙄 nah.,hate
Abatutsi bakwiye kwirukanwa mu gihugu 💩.,hate
Keep up the good work 😭.,normal
"Bruh, stop acting like a inyenzi 😭.",offensive
Abategetsi bakwiye kwirukanwa mu gihugu 🙄.,hate
Murakoze cyane kubw'amakuru meza 💩.,normal
Ese mwabonye update kuri app? It's very fast now 😂.,normal
Uri inyenzi rwose 🙄.,offensive
"Abanyamahanga = ibyihebe kabisa, fr 😭.",hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 🙄 lmao.,hate
"Abanyarwanda = ibyihebe kabisa, smh 💩.",hate
Keep up the good work 😭.,normal
"Ntabwo nemera Abatutsi, ni ibyihebe 💩.",hate
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 🙄 wtf.,hate
"Please niba ubonye amakosa muri system, report kuri support team 😡.",normal
Abatutsi bakwiye kwirukanwa mu gihugu 🤡.,hate
Lmao @maria uri ibicucu lmao 😭.,offensive
Uri ibyihebe rwose 💩.,offensive
Uyu system irakora neza ariko needs improvements 🤡.,normal
Uyu system irakora neza ariko needs improvements 💩.,normal
"Abategetsi = ibicucu kabisa, lmao 😭.",hate
Murakoze cyane kubw'amakuru meza 😭.,normal
"Ndi happy na service yanyu, thanks 😂.",normal
Uri ibisambo rwose 🤡.,offensive
Twese dukwiriye kubana mu mahoro no respect 🤡.,normal
"Ntabwo nemera Abanyamahanga, ni ibigarasha 🙄.",hate
Tf bro? Urimo kwitwara nka ibyihebe 💩.,offensive
"Ibyo uvuga ni abaswa 😂, wowe @john.",offensive
"Ntabwo nemera Abatutsi, ni ibigarasha 🔥.",hate
Abatutsi bose ni abaswa 🔥. Tugomba kubirwanya!,hate
"Bruh, stop acting like a inyenzi 😭.",offensive
Tf bro? Urimo kwitwara nka ibisambo 😂.,offensive
Abategetsi bose ni ibisambo 😂. Tugomba kubirwanya!,hate
Tf bro? Urimo kwitwara nka ibigarasha 😡.,offensive
"Abatutsi = abaswa kabisa, nah 😂.",hate
Abahutu bose ni ibicucu 🤡. Tugomba kubirwanya!,hate
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 🙄 bruh.,hate
"Abanyarwanda = ibicucu kabisa, smh 😡.",hate
"Ntabwo nemera Abatutsi, ni abaswa 😭.",hate
Uri ibyihebe rwose 💩.,offensive
@keza ndagushimira cyane kubw'ubufasha bwawe 🤡.,normal
"Ibyo uvuga ni abaswa 🤡, wowe @john.",offensive
Keep up the good work 🤡.,normal
"Bruh, stop acting like a abaswa 🔥.",offensive
"Abatutsi = ibigarasha kabisa, fr 😭.",hate
Murakoze cyane kubw'amakuru meza 😂.,normal
Abahutu ni ikibazo gikomeye mu gihugu cyacu 🤡 lmao.,hate
Abanyarwanda dukwiye unity na love 💩.,normal
"Ibyo uvuga ni ibisambo 😂, wowe @john.",offensive
Keep up the good work 🙄.,normal
Uri ibisambo rwose 🔥.,offensive
"Abahutu = abaswa kabisa, nah 🙄.",hate
Twese dukwiriye kubana mu mahoro no respect 😭.,normal
"Abanyarwanda = ibigarasha kabisa, smh 😡.",hate
Uri ibyihebe rwose 💩.,offensive
Uri ibisambo rwose 🤡.,offensive
"Bruh, stop acting like a abaswa 🤡.",offensive
Lmao @keza uri inyenzi nah 😡.,offensive
Uyu system irakora neza ariko needs improvements 🤡.,normal
Uri ibicucu rwose 🙄.,offensive
@peter ndagushimira cyane kubw'ubufasha bwawe 🔥.,normal
"Abategetsi = inyenzi kabisa, fr 😭.",hate
"Abategetsi = ibyihebe kabisa, wtf 💩.",hate
Twese dukwiriye kubana mu mahoro no respect 💩.,normal
Abanyarwanda dukwiye unity na love 😂.,normal
Abatutsi bakwiye kwirukanwa mu gihugu 🙄.,hate
"Ntabwo nemera Abanyarwanda, ni ibigarasha 🙄.",hate
Ese mwabonye update kuri app? It's very fast now 🤡.,normal
"Abategetsi = ibicucu kabisa, bruh 🤡.",hate
Uri abaswa rwose 🤡.,offensive
"Ndi happy na service yanyu, thanks 😡.",normal
"Ibyo uvuga ni ibisambo 🙄, wowe @peter.",offensive
Lmao @peter uri ibyihebe wtf 💩.,offensive
Uri inyenzi rwose 😡.,offensive
Abanyarwanda dukwiye unity na love 💩.,normal
Abatutsi bakwiye kwirukanwa mu gihugu 🙄.,hate
"Please niba ubonye amakosa muri system, report kuri support team 😂.",normal
Abanyamahanga ni ikibazo gikomeye mu gihugu cyacu 🤡 bruh.,hate
"Bruh, stop acting like a ibicucu 💩.",offensive
"Ntabwo nemera Abahutu, ni inyenzi 🙄.",hate
Keep up the good work 🤡.,normal
Abanyarwanda dukwiye unity na love 🤡.,normal
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 💩 wtf.,hate
"Ibyo uvuga ni inyenzi 😡, wowe @maria.",offensive
"Ibyo uvuga ni abaswa 😂, wowe @peter.",offensive
"Abahutu = ibisambo kabisa, wtf 🔥.",hate
@maria ndagushimira cyane kubw'ubufasha bwawe 🤡.,normal
Murakoze cyane kubw'amakuru meza 🔥.,normal
"Bruh, stop acting like a ibigarasha 😡.",offensive
"Ibyo uvuga ni ibisambo 😂, wowe @keza.",offensive
Uri ibicucu rwose 💩.,offensive
Uri ibicucu rwose 🤡.,offensive
"Ibyo uvuga ni ibigarasha 😭, wowe @keza.",offensive
Abahutu ni ikibazo gikomeye mu gihugu cyacu 😡 lmao.,hate
"Ndi happy na service yanyu, thanks 🔥.",normal
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 😂 smh.,hate
Uri inyenzi rwose 😡.,offensive
Murakoze cyane kubw'amakuru meza 😂.,normal
"Ibyo uvuga ni ibyihebe 😂, wowe @maria.",offensive
Abahutu ni ikibazo gikomeye mu gihugu cyacu 😭 smh.,hate
"Ndi happy na service yanyu, thanks 🔥.",normal
"Ntabwo nemera Abategetsi, ni ibyihebe 😡.",hate
"Abanyarwanda = inyenzi kabisa, bruh 😭.",hate
"Bruh, stop acting like a ibigarasha 💩.",offensive
"Bruh, stop acting like a ibigarasha 😂.",offensive
"Abanyarwanda = ibicucu kabisa, wtf 😡.",hate
Abanyamahanga bose ni ibyihebe 🤡. Tugomba kubirwanya!,hate
Uri ibigarasha rwose 🔥.,offensive
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 🔥 nah.,hate
Abatutsi bakwiye kwirukanwa mu gihugu 🙄.,hate
Lmao @peter uri abaswa smh 🔥.,offensive
"Bruh, stop acting like a ibigarasha 😭.",offensive
Abahutu bakwiye kwirukanwa mu gihugu 🙄.,hate
Tf bro? Urimo kwitwara nka ibisambo 🙄.,offensive
"Ntabwo nemera Abategetsi, ni ibyihebe 😭.",hate
Uri ibigarasha rwose 😡.,offensive
"Abatutsi = ibigarasha kabisa, bruh 🤡.",hate
"Ibyo uvuga ni abaswa 🙄, wowe @maria.",offensive
Ese mwabonye update kuri app? It's very fast now 😭.,normal
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 😭 tf.,hate
"Ibyo uvuga ni inyenzi 😂, wowe @peter.",offensive
Abanyamahanga bakwiye kwirukanwa mu gihugu 💩.,hate
Twese dukwiriye kubana mu mahoro no respect 😡.,normal
Uri ibyihebe rwose 💩.,offensive
"Ntabwo nemera Abanyarwanda, ni ibisambo 🔥.",hate
"Please niba ubonye amakosa muri system, report kuri support team 😭.",normal
"Bruh, stop acting like a ibyihebe 🔥.",offensive
"Ndi happy na service yanyu, thanks 😂.",normal
Lmao @maria uri ibisambo bruh 🙄.,offensive
"Ibyo uvuga ni ibyihebe 🤡, wowe @peter.",offensive
Uyu system irakora neza ariko needs improvements 😡.,normal
Abategetsi bakwiye kwirukanwa mu gihugu 🙄.,hate
Twese dukwiriye kubana mu mahoro no respect 🔥.,normal
Lmao @mugisha uri ibigarasha bruh 😂.,offensive
Abategetsi bose ni ibyihebe 😡. Tugomba kubirwanya!,hate
Uyu system irakora neza ariko needs improvements 🙄.,normal
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 😡 nah.,hate
"Abategetsi = inyenzi kabisa, tf 🙄.",hate
"Ntabwo nemera Abanyamahanga, ni ibigarasha 🤡.",hate
Abahutu bose ni ibigarasha 😂. Tugomba kubirwanya!,hate
Uri ibisambo rwose 😡.,offensive
@mugisha ndagushimira cyane kubw'ubufasha bwawe 🤡.,normal
Keep up the good work 😡.,normal
Abanyarwanda bose ni abaswa 😭. Tugomba kubirwanya!,hate
"Ndi happy na service yanyu, thanks 💩.",normal
Twese dukwiriye kubana mu mahoro no respect 🔥.,normal
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 😭 wtf.,hate
Uyu system irakora neza ariko needs improvements 😂.,normal
Ese mwabonye update kuri app? It's very fast now 😂.,normal
Tf bro? Urimo kwitwara nka inyenzi 🔥.,offensive
Uri inyenzi rwose 😡.,offensive
Abategetsi bakwiye kwirukanwa mu gihugu 🤡.,hate
Lmao @keza uri abaswa lmao 😂.,offensive
"Please niba ubonye amakosa muri system, report kuri support team 🤡.",normal
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 🙄 nah.,hate
"Abategetsi = ibyihebe kabisa, wtf 😂.",hate
"Abahutu = inyenzi kabisa, wtf 🤡.",hate
Abatutsi bose ni ibisambo 🤡. Tugomba kubirwanya!,hate
"Please niba ubonye amakosa muri system, report kuri support team 🔥.",normal
"Ibyo uvuga ni ibyihebe 🤡, wowe @keza.",offensive
Lmao @maria uri ibicucu tf 😂.,offensive
Lmao @keza uri ibicucu lmao 😭.,offensive
Uyu system irakora neza ariko needs improvements 🔥.,normal
Keep up the good work 💩.,normal
Twese dukwiriye kubana mu mahoro no respect 💩.,normal
"Abategetsi = ibigarasha kabisa, lmao 💩.",hate
Abategetsi bose ni ibisambo 🔥. Tugomba kubirwanya!,hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 😡 lmao.,hate
Lmao @keza uri ibicucu bruh 🤡.,offensive
Keep up the good work 😡.,normal
"Please niba ubonye amakosa muri system, report kuri support team 🤡.",normal
Murakoze cyane kubw'amakuru meza 🤡.,normal
Tf bro? Urimo kwitwara nka ibicucu 😡.,offensive
"Abahutu = ibicucu kabisa, wtf 😭.",hate
Keep up the good work 🤡.,normal
"Abahutu = ibisambo kabisa, nah 💩.",hate
Murakoze cyane kubw'amakuru meza 😂.,normal
"Abahutu = ibyihebe kabisa, smh 🙄.",hate
Tf bro? Urimo kwitwara nka inyenzi 😭.,offensive
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 🙄 fr.,hate
Twese dukwiriye kubana mu mahoro no respect 💩.,normal
Lmao @john uri ibigarasha nah 🤡.,offensive
Keep up the good work 😡.,normal
Uyu system irakora neza ariko needs improvements 😡.,normal
Uri inyenzi rwose 🙄.,offensive
Abahutu bakwiye kwirukanwa mu gihugu 🔥.,hate
Ese mwabonye update kuri app? It's very fast now 😭.,normal
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 🤡 fr.,hate
"Abategetsi = ibyihebe kabisa, tf 😡.",hate
Uyu system irakora neza ariko needs improvements 😡.,normal
"Ntabwo nemera Abanyamahanga, ni ibisambo 🤡.",hate
Abanyamahanga bakwiye kwirukanwa mu gihugu 💩.,hate
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 😂 lmao.,hate
"Bruh, stop acting like a ibigarasha 🙄.",offensive
Abanyarwanda bose ni ibigarasha 🙄. Tugomba kubirwanya!,hate
Uri ibicucu rwose 🔥.,offensive
"Ibyo uvuga ni inyenzi 🔥, wowe @peter.",offensive
"Abatutsi = inyenzi kabisa, lmao 🙄.",hate
"Please niba ubonye amakosa muri system, report kuri support team 😭.",normal
@mugisha ndagushimira cyane kubw'ubufasha bwawe 😭.,normal
"Please niba ubonye amakosa muri system, report kuri support team 💩.",normal
"Ndi happy na service yanyu, thanks 😡.",normal
Twese dukwiriye kubana mu mahoro no respect 🔥.,normal
Twese dukwiriye kubana mu mahoro no respect 🙄.,normal
Abanyamahanga ni ikibazo gikomeye mu gihugu cyacu 🔥 tf.,hate
Keep up the good work 🙄.,normal
Abategetsi bose ni abaswa 😭. Tugomba kubirwanya!,hate
"Ndi happy na service yanyu, thanks 😭.",normal
"Ntabwo nemera Abatutsi, ni inyenzi 🔥.",hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 😭 smh.,hate
"Abanyarwanda = ibyihebe kabisa, bruh 🔥.",hate
"Ntabwo nemera Abatutsi, ni abaswa 💩.",hate
Uri ibyihebe rwose 😭.,offensive
"Ntabwo nemera Abanyarwanda, ni ibisambo 🔥.",hate
"Ibyo uvuga ni ibyihebe 😡, wowe @keza.",offensive
"Bruh, stop acting like a ibicucu 🔥.",offensive
Keep up the good work 😂.,normal
"Please niba ubonye amakosa muri system, report kuri support team 🤡.",normal
"Ibyo uvuga ni ibicucu 😭, wowe @mugisha.",offensive
Abahutu ni ikibazo gikomeye mu gihugu cyacu 💩 smh.,hate
@mugisha ndagushimira cyane kubw'ubufasha bwawe 😡.,normal
"Abanyarwanda = abaswa kabisa, tf 😭.",hate
Abanyamahanga bakwiye kwirukanwa mu gihugu 🤡.,hate
Murakoze cyane kubw'amakuru meza 🤡.,normal
Lmao @mugisha uri ibisambo fr 💩.,offensive
Lmao @maria uri ibigarasha fr 😂.,offensive
"Ntabwo nemera Abanyamahanga, ni abaswa 😭.",hate
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 🔥 lmao.,hate
Abahutu ni ikibazo gikomeye mu gihugu cyacu 🤡 nah.,hate
"Ntabwo nemera Abanyamahanga, ni abaswa 😭.",hate
"Abanyamahanga = ibyihebe kabisa, lmao 😂.",hate
@mugisha ndagushimira cyane kubw'ubufasha bwawe 😭.,normal
"Ntabwo nemera Abanyamahanga, ni ibicucu 😡.",hate
Murakoze cyane kubw'amakuru meza 💩.,normal
"Ntabwo nemera Abanyamahanga, ni ibigarasha 🙄.",hate
Lmao @peter uri ibisambo smh 🤡.,offensive
Keep up the good work 🤡.,normal
Lmao @john uri ibigarasha bruh 🙄.,offensive
"Abanyarwanda = ibyihebe kabisa, lmao 🙄.",hate
Keep up the good work 😭.,normal
"Ibyo uvuga ni ibigarasha 😭, wowe @keza.",offensive
Murakoze cyane kubw'amakuru meza 🤡.,normal
"Abanyamahanga = abaswa kabisa, lmao 🤡.",hate
Uri ibigarasha rwose 💩.,offensive
Uyu system irakora neza ariko needs improvements 😂.,normal
"Please niba ubonye amakosa muri system, report kuri support team 🤡.",normal
Abahutu bakwiye kwirukanwa mu gihugu 💩.,hate
"Ibyo uvuga ni inyenzi 💩, wowe @mugisha.",offensive
Abatutsi bose ni ibicucu 😂. Tugomba kubirwanya!,hate
Abahutu bakwiye kwirukanwa mu gihugu 😭.,hate
@maria ndagushimira cyane kubw'ubufasha bwawe 😭.,normal
"Ntabwo nemera Abanyamahanga, ni inyenzi 😡.",hate
"Ibyo uvuga ni ibyihebe 🔥, wowe @keza.",offensive
Uyu system irakora neza ariko needs improvements 😡.,normal
"Please niba ubonye amakosa muri system, report kuri support team 🔥.",normal
"Bruh, stop acting like a ibigarasha 🤡.",offensive
"Ibyo uvuga ni ibyihebe 🤡, wowe @keza.",offensive
Lmao @mugisha uri inyenzi lmao 💩.,offensive
Abatutsi bose ni ibigarasha 🔥. Tugomba kubirwanya!,hate
Abanyarwanda dukwiye unity na love 🙄.,normal
Twese dukwiriye kubana mu mahoro no respect 🤡.,normal
Keep up the good work 🔥.,normal
Abanyarwanda dukwiye unity na love 🔥.,normal
Twese dukwiriye kubana mu mahoro no respect 😂.,normal
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 😭 fr.,hate
"Ibyo uvuga ni ibyihebe 😡, wowe @keza.",offensive
"Please niba ubonye amakosa muri system, report kuri support team 🤡.",normal
Abatutsi bose ni inyenzi 😂. Tugomba kubirwanya!,hate
Tf bro? Urimo kwitwara nka ibisambo 🤡.,offensive
Tf bro? Urimo kwitwara nka inyenzi 😡.,offensive
"Bruh, stop acting like a inyenzi 🔥.",offensive
Abatutsi bose ni ibyihebe 💩. Tugomba kubirwanya!,hate
Tf bro? Urimo kwitwara nka ibisambo 🤡.,offensive
Abanyamahanga bose ni abaswa 😡. Tugomba kubirwanya!,hate
Ese mwabonye update kuri app? It's very fast now 😂.,normal
Twese dukwiriye kubana mu mahoro no respect 😡.,normal
"Bruh, stop acting like a ibyihebe 🔥.",offensive
Abanyamahanga bakwiye kwirukanwa mu gihugu 😭.,hate
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 💩 fr.,hate
"Ndi happy na service yanyu, thanks 😂.",normal
Abanyarwanda ni ikibazo gikomeye mu gihugu cyacu 😭 tf.,hate
Abatutsi ni ikibazo gikomeye mu gihugu cyacu 💩 smh.,hate
Abanyarwanda bakwiye kwirukanwa mu gihugu 🤡.,hate
"Abategetsi = abaswa kabisa, nah 😭.",hate
@peter ndagushimira cyane kubw'ubufasha bwawe 🙄.,normal
"Ndi happy na service yanyu, thanks 🙄.",normal
Twese dukwiriye kubana mu mahoro no respect 🔥.,normal
Abatutsi bakwiye kwirukanwa mu gihugu 🤡.,hate
Uyu system irakora neza ariko needs improvements 💩.,normal
"Please niba ubonye amakosa muri system, report kuri support team 💩.",normal
Ese mwabonye update kuri app? It's very fast now 😭.,normal
Abategetsi bakwiye kwirukanwa mu gihugu 🙄.,hate
Uyu system irakora neza ariko needs improvements 😭.,normal
Abategetsi ni ikibazo gikomeye mu gihugu cyacu 🔥 wtf.,hate
Abahutu ni ikibazo gikomeye mu gihugu cyacu 🤡 fr.,hate
"Bruh, stop acting like a ibigarasha 🙄.",offensive
Twese dukwiriye kubana mu mahoro no respect 😂.,normal
