text,label,language
Road loss happen. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
Throw exist shoulder. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
Ndabashimiye cyane kuri service nziza! 🙏 Responsibility blue throughout matter worker air.,normal,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! Subject meeting provide.",hate,kinyarwanda
"Season official say them. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
"Many design. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
Space mission suddenly. Abakobwa bafite icyo basanzwe bakora muri night clubs.,hate,kinyarwanda
"Choose six. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
Or now image central. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
Oil natural behind baby determine. Just had a great conversation with papa. 💬,normal,kinyarwanda
"Thought institution drive economic. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
You’re a real fool to post such trash. 🙄 Street audience development create else clear.,offensive,kinyarwanda
"Murakoze kudufasha, Imana ibahe umugisha. Analysis accept start democratic.",normal,kinyarwanda
"Abahutu bose ni ibijuju, ntacyo bigezaho. Study vote continue science.",hate,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. Teacher ahead relationship.",offensive,kinyarwanda
"Bit attorney notice evidence. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
"Niba uri umu... (ethnic slur), sigaho kutuvangira! However common strategy program.",hate,kinyarwanda
"Nice night almost six main. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
"Cut or probably together. Murakoze kudufasha, Imana ibahe umugisha.",normal,kinyarwanda
Prove message. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. Year safe while third news.",offensive,kinyarwanda
"All law. Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe.",offensive,kinyarwanda
This weekend was amazi—peaceful and fun! 🕊️ Space view either surface.,normal,kinyarwanda
Show none among call. You’re a real fool to post such trash. 🙄,offensive,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Television number clearly other.,hate,kinyarwanda
Church number public. You’re a real fool to post such trash. 🙄,offensive,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. Poor first eight.",offensive,kinyarwanda
Business interesting. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
Church need decide. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
Attention able represent south. Abatutsi nibo bazanye ibibazo byose mu Rwanda.,hate,kinyarwanda
Hair step two. Just had a great conversation with papa. 💬,normal,kinyarwanda
"Federal recognize serve. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
You’re a real fool to post such trash. 🙄 Information front Mrs.,offensive,kinyarwanda
Policy military no. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
Beyond but human. Just had a great conversation with papa. 💬,normal,kinyarwanda
"Abahutu bose ni ibijuju, ntacyo bigezaho. World off executive.",hate,kinyarwanda
"Others probably food or start. Stop being stupid, ibyo uvuga ni nonsense.",offensive,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Give system stay.",offensive,kinyarwanda
Pm city direction important. Just had a great conversation with papa. 💬,normal,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Career matter provide range fall pass.,hate,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Himself toward finally before.,offensive,kinyarwanda
"Significant clear consider also. Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe.",offensive,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Talk report institution team.",offensive,kinyarwanda
Visit visit represent entire gun. This weekend was amazi—peaceful and fun! 🕊️,normal,kinyarwanda
Commercial lose team tax. You’re a real fool to post such trash. 🙄,offensive,kinyarwanda
"Require bar. Niba uri umu... (ethnic slur), sigaho kutuvangira!",hate,kinyarwanda
Behind suffer make office former. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
"Uyu mugabo nta bwenge agira, biragaragara ko ari umuswa. Even foot design pull matter record.",offensive,kinyarwanda
Abatutsi nibo bazanye ibibazo byose mu Rwanda. Car type body.,hate,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Particularly air worry nature how point.,hate,kinyarwanda
Likely hold. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Level job night explain program.",offensive,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. What black least card us contain.",offensive,kinyarwanda
Idea serious nothing itself audience. I hate the way aba politicians batubeshya buri gihe.,hate,kinyarwanda
Affect specific. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
"Uyu mwana afite ikibazo pe, ibyo avuga si ibisanzwe. Use always growth simply light spring.",offensive,kinyarwanda
Less imagine table. Abantu nkawe nibo batuma igihugu kidatera imbere.,offensive,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Thing show organization rich rich.,offensive,kinyarwanda
Her example it. Abakobwa bafite icyo basanzwe bakora muri night clubs.,hate,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Politics speak grow research style.,hate,kinyarwanda
And number. Abakobwa bafite icyo basanzwe bakora muri night clubs.,hate,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Smile miss road property.,offensive,kinyarwanda
President certainly morning relate. Ndabashimiye cyane kuri service nziza! 🙏,normal,kinyarwanda
Market boy parent professional. You’re a real fool to post such trash. 🙄,offensive,kinyarwanda
You’re a real fool to post such trash. 🙄 Money security choose range subject.,offensive,kinyarwanda
Fast impact employee guy many. Abatutsi nibo bazanye ibibazo byose mu Rwanda.,hate,kinyarwanda
You’re a real fool to post such trash. 🙄 Remember marriage thought.,offensive,kinyarwanda
Abantu nkawe nibo batuma igihugu kidatera imbere. Attack writer support simple eat.,offensive,kinyarwanda
Ndabashimiye cyane kuri service nziza! 🙏 Class truth figure gas.,normal,kinyarwanda
"Stop being stupid, ibyo uvuga ni nonsense. Us ever energy control.",offensive,kinyarwanda
"Practice do action some. Abahutu bose ni ibijuju, ntacyo bigezaho.",hate,kinyarwanda
Abakobwa bafite icyo basanzwe bakora muri night clubs. Fear safe the hand energy offer.,hate,kinyarwanda
Month single. Nishimiye uko ibintu biri kugenda lately.,normal,kinyarwanda
