text,label
Ukoresha amagambo nk’utunguwe,offensive
Uri inyamaswa itagira ubwenge,hate
Uri injiji,offensive
Ndashimira ubuyobozi bwacu bwiza butugeza ku ntera nziza,normal
Amahoro y’Imana abane namwe,normal
Uri inyamaswa itagira ubwenge,hate
Turikumwe,normal
Ndabashimira kuri byose,normal
Wowe uzi ibintu nka make,offensive
Uri imbwa y’igicucu,hate
Ndumva meze neza,normal
Ufite umutwe nk’igikonjo kitagira icyo kimaze kandi ukivuga byinshi ubusa,offensive
Uri umuswa,offensive
Turikumwe,normal
Ukoresha amagambo nk’utunguwe,offensive
"Ni nko kuganira n’inkuta, ntacyo byatanga",offensive
Uhumeka ubusa gusa,offensive
Uri umuntu mubi cyane wagize amahirwe yo kubaho gusa,hate
"Ntacyo ushoboye, ugomba kuba wibeshya ku buzima",offensive
Uri igisebe ku muryango nyarwanda kandi ukwiye kuvaho,hate
Twese dukwiye kubahana,normal
Nakwicira ahagaragara ntacyo byantera,hate
Ndumva meze neza,normal
Ndashimira ubuyobozi bwacu bwiza butugeza ku ntera nziza,normal
"Ni nko kuganira n’inkuta, ntacyo byatanga",offensive
Genda ubeho,offensive
Uri injiji,offensive
Ufite umutwe w’ubusa,offensive
Twese dukwiye kubahana,normal
Uri injiji,offensive
Muraho,normal
Wowe ntukwiye kubaho,hate
Ndabashimira ku bwitange bwanyu n'uruhare mu iterambere ry’igihugu,normal
Uri umuswa,offensive
Uri imbwa y’igicucu,hate
Ufite umutwe w’ubusa,offensive
Ndabashimira kuri byose,normal
Turikumwe,normal
Ndumva meze neza,normal
Turikumwe nk'abanyarwanda,normal
Uri inyamaswa itagira ubwenge,hate
Uri ikimenyane,hate
Ndabashimira ku bwitange bwanyu n'uruhare mu iterambere ry’igihugu,normal
Ndumva meze neza,normal
Nakwicira ahagaragara ntacyo byantera,hate
"Ntacyo ushoboye, ugomba kuba wibeshya ku buzima",offensive
Nakwicira ahagaragara ntacyo byantera,hate
Uri umuswa,offensive
Wapfuye,hate
Genda ubeho,offensive
Uri injiji,offensive
"Ntacyo ushoboye, ugomba kuba wibeshya ku buzima",offensive
Ndabishimiye,normal
Ndabishimiye,normal
Ntacyo ushoboye na gito,offensive
Twese dukwiye kugira uruhare mu kubaka ubumwe bw’igihugu cyacu,normal
Bite se,normal
"Ntacyo ushoboye, ugomba kuba wibeshya ku buzima",offensive
Ndabashimira kuri byose,normal
Uri ikimenyane,hate
Uri umwanda,hate
Twese dukwiye kugira uruhare mu kubaka ubumwe bw’igihugu cyacu,normal
Turabashimira cyane ku bwo kudufasha muri ibi bihe bikomeye,normal
Wigira nk’umwana utarakuze,offensive
Ntacyo ushoboye na gito,offensive
Uri umwanda,hate
Uri umuswa,offensive
"Ni nko kuganira n’inkuta, ntacyo byatanga",offensive
"Ni uko amategeko akubuza, sinari kumara umwanya nkwihanganira",hate
Uri inyamaswa itagira ubwenge,hate
"Ni nko kuganira n’inkuta, ntacyo byatanga",offensive
Wapfuye,hate
Turikumwe nk'abanyarwanda,normal
"Ni uko amategeko akubuza, sinari kumara umwanya nkwihanganira",hate
Wigira nk’umwana utarakuze,offensive
Uri imbwa y’igicucu,hate
Nta gaciro ugira,hate
Ushobora kuba warakuze utumva ariko na n’ubu ntacyo wumva,offensive
Bite se,normal
Twese dukwiye kugira uruhare mu kubaka ubumwe bw’igihugu cyacu,normal
Twese dukwiye kugira uruhare mu kubaka ubumwe bw’igihugu cyacu,normal
Ndakwanga,hate
Uri umwanda,hate
Uri imbwa y’igicucu,hate
Ndabashimira kuri byose,normal
Bite se,normal
Uri umuntu mubi cyane wagize amahirwe yo kubaho gusa,hate
Ndashimira ubuyobozi bwacu bwiza butugeza ku ntera nziza,normal
Ndakwanga,hate
Uri injiji,offensive
Uri igicucu,hate
Uri igisebe ku muryango nyarwanda kandi ukwiye kuvaho,hate
Amakuru,normal
"Ntacyo ushoboye, ugomba kuba wibeshya ku buzima",offensive
Ndashimira ubuyobozi bwacu bwiza butugeza ku ntera nziza,normal
Ndabashimira kuri byose,normal
Turikumwe,normal
Uhumeka ubusa gusa,offensive
Nta gaciro ugira,hate
Uhumeka ubusa gusa,offensive
Wigize indashoboka,offensive
Ushobora kuba warakuze utumva ariko na n’ubu ntacyo wumva,offensive
Uri inyamaswa itagira ubwenge,hate
Amakuru,normal
Uri ikimenyane,hate
Ufite umutwe nk’igikonjo kitagira icyo kimaze kandi ukivuga byinshi ubusa,offensive
Twese dukwiye kugira uruhare mu kubaka ubumwe bw’igihugu cyacu,normal
"Ni uko amategeko akubuza, sinari kumara umwanya nkwihanganira",hate
Ndashimira ubuyobozi bwacu bwiza butugeza ku ntera nziza,normal
Ntacyo ushoboye na gito,offensive
Uri umuswa,offensive
Amakuru,normal
Uri injiji,offensive
Muraho,normal
Uri igisebe ku muryango nyarwanda kandi ukwiye kuvaho,hate
Twese dukwiye kugira uruhare mu kubaka ubumwe bw’igihugu cyacu,normal
Uri igicucu,hate
Nakwica nkakujugunya,hate
Uhumeka ubusa gusa,offensive
Ndabashimira kuri byose,normal
