text,label,language
Abanyapolitike bacu bose ni ibisambo gusa.,hate,kinyarwanda
Abatutsi nibo bateje intambara zose. Push friend.,hate,kinyarwanda
Abayobozi b’iki gihugu baraturenganya nkana. Control cost.,hate,kinyarwanda
"Uyu munsi wagenze neza cyane, amahoro menshi.",normal,kinyarwanda
"Murakoze kubana natwe uyu munsi, byari byiza.",normal,kinyarwanda
Mbabarira ariko ibyo wanditse ni ubuswa gusa. Development range might that treat.,offensive,kinyarwanda
"Murakoze kubana natwe uyu munsi, byari byiza.",normal,kinyarwanda
Iyo mbonye abantu bafite umutima mwiza biranshimisha. Republican commercial.,normal,kinyarwanda
"Ariko uyu muntu ni injiji, ntacyo azi pe. Environmental range.",offensive,kinyarwanda
Abo bantu ntibakwiye no gutura hano.,hate,kinyarwanda
"Twavukanye n'abo bantu, ariko ntitumeze kimwe.",hate,kinyarwanda
"Uyu munsi wagenze neza cyane, amahoro menshi. Thus evening right.",normal,kinyarwanda
"Twavukanye n'abo bantu, ariko ntitumeze kimwe. Rule people game.",hate,kinyarwanda
"Uko witwara ni nonsense, gerageza ube serious. Owner general third.",offensive,kinyarwanda
Abatutsi nibo bateje intambara zose.,hate,kinyarwanda
Abanyapolitike bacu bose ni ibisambo gusa.,hate,kinyarwanda
"Uyu munsi wagenze neza cyane, amahoro menshi. Oil tree audience box finish.",normal,kinyarwanda
Iyo mbonye abantu bafite umutima mwiza biranshimisha.,normal,kinyarwanda
Abakobwa bose bo muri kariya gace ni indaya.,hate,kinyarwanda
"Ndumva neza rwose, thanks kuri support. Seven recognize.",normal,kinyarwanda
"Uwo muntu afite ikibazo, ibyo akora ni amahano. Morning impact need.",offensive,kinyarwanda
Abantu nkawe bakwiye kwigishwa discipline.,offensive,kinyarwanda
"Iyo mbona abo bantu ndarwara, sinababona.",hate,kinyarwanda
Ntitwifuza kubona abo bantu muri aka gace kacu. Crime point.,hate,kinyarwanda
Ntiwumva se ko ibyo uvuga ari ubujiji bukabije?,offensive,kinyarwanda
Ntitwifuza kubona abo bantu muri aka gace kacu.,hate,kinyarwanda
"Uyu munsi wagenze neza cyane, amahoro menshi.",normal,kinyarwanda
"Uyu munsi wagenze neza cyane, amahoro menshi. Trip TV a wall.",normal,kinyarwanda
"Ntukajye uvuga ubusa nk’uku, urasebya. Experience real office.",offensive,kinyarwanda
Iyo mbonye abantu bafite umutima mwiza biranshimisha. Air white apply.,normal,kinyarwanda
Ntiwumva se ko ibyo uvuga ari ubujiji bukabije? Much money throw future.,offensive,kinyarwanda
"Reka kujijisha abantu, ibyo ukora ni bullshit.",offensive,kinyarwanda
"Twabonye results nziza, good job everyone! Home necessary.",normal,kinyarwanda
Abo bantu ntibakwiye no gutura hano. Sound last prove put.,hate,kinyarwanda
Abanyapolitike bacu bose ni ibisambo gusa.,hate,kinyarwanda
Mbabarira ariko ibyo wanditse ni ubuswa gusa.,offensive,kinyarwanda
Ndabashimiye cyane kuri service nziza! Your budget who answer.,normal,kinyarwanda
"Uyu munsi wagenze neza cyane, amahoro menshi. Member institution long talk.",normal,kinyarwanda
Abatutsi nibo bateje intambara zose. Dog benefit hair.,hate,kinyarwanda
"Uri ikiburamwaka pe, nta bwenge ufite. Individual data job everybody subject.",offensive,kinyarwanda
