tweet	label
Rutayomba warerewe muri @user n’umufasha we barwaye bikomeye, basabye gufashwa kwivuza- https://t.co/c5Gef7HZQE	neutral
Maze ndumigwaga kokoooo😂😂😂😂😂😂 Caze kanigire guhiga umuceri mvabo ubusutwa aha😂😂 https://t.co/W4p9TYwF4V	negative
Ubushobozi bwawe ntibugaragarira mu ntege nye z'undi. Aho kunenga gusa, wakora neza bakakwigiraho.	positive
@user Nese umuntu utareba arandika, gusa ahubwo urabyumva bro😂🤣🔥, anyway mu ijuru uzababona	positive
Komeza wese imihigo nkuba y'inkubiri. Ishema rya njye ni ukumva ko uzwi kw'ishuri nk'umwana uvuga ikinyarwanda kiza.#Ikinyarwandacyacu #uburere #uburezi https://t.co/5CN44bjKWh	positive
@user Ikaze wa mwenge we wuje impanuro, tubitezeho byinshi mubyeyi. https://t.co/zAtBORUW6R 📹: @user	positive
@user Uzazamuke mu étage ya gatanu hanyuma usimbukire hasiiiiii	negative
BURYA KOKO IMANA IBAHO! Ubu ni ubuhamya bwa Pelagie wo mu Murenge wa @user washyikirijwe inzu yasaniwe na @user kubufatanye n'umurenge! https://t.co/SuoG4d4Qh5 @user @user @user @user @user @user @user	positive
@user Iki kigabo kigiye igifaransa muri ma colline na Horizon 😂😂🤣.	negative
@user @user Sorry basi😭🤦 Ariko izo chiffres zirinze imibare irenze 4 😹😹??	neutral
@user None ibyo bigabo biryamana nu Dukobwa duto byo urabitecyerezaho ki?🤔🤔😏 tuba twishyuranana😣😪🙃🙃🙃💁💁🙅🙌	negative
@user @user @user Koko c ko mbona mbs zigenda	neutral
Rema wakoranye indirimbo na The Ben yibarutse nyuma yo gutandukana na Eddy Kenzo agashaka undi mugabo. #isangonamuzika https://t.co/vfXGb2Rz6y	neutral
@user @user Birashimishije kandi biratanga icyizere cy'aho tugana! Kureba kure no guhuza imvugo n'ingiro niyo ntego nkuru.	positive
Guma mukarere ishobora gukurikirwa na Guma murugo https://t.co/2PH65C4Xb4	neutral
@user So ukubeshya RIB Ikwiye kugororerwa birenze rwose ibyo bakora harimo ubuhanga nubunyangamugayo	positive
@user @user @user @user @user @user @user @user Murakoze cyane ku bw’ ubusobanuro muduhaye🙏🏾	positive
@user nyamara mukomereje aha haricyahinduka cyanecyane mumavubi https://t.co/81p15M9osC	positive
Nyamara yago nubwo yataruste inzego ark yavuze ukuri kd muzehe biriya bintu aba abizi anabibona nuko aba yiturije 😎	positive
Strong testimonies in ligne with #IWD2022 Iyo bavuze #Mutimawurugo numva imbaraga, numva ubushobozi, numva ukwihangana, numva umutima. Happy #InternationalWomensDay2022 my sisters🙏🏾 https://t.co/zsYx38t4zD	positive
@user @user mukomeze mubigishe kurera Amaboko aho kubereka uko Bajya muri BDF bagafata Amafaranga bakihangira umurimo https://t.co/2Uh6Z4EKhA	neutral
Niba kwifuza Ari Icyaha ubwo abantu ba hano bagikora buri munota ngabo muri mwandemeye Aba follow like retweet....😂😂😂	negative
@user None se uwo mwuka wera ko nta we ndi kubona?	negative
Umunsi mwiza Love ♥️♥️♥️ nawe ntugacike intege ahubwo ibyiza birimbere https://t.co/18adzzD77T	positive
@user uh! N'umusazi ko atinya nyina ra!	negative
@user Oya nanone twamuhugura aho kumwifuriza ibibi. Erega iyo Umunyarwanda ahungabanye ingaruka nawe zikugeraho.	positive
@user Aho bukera nayo iribwurire kbc	neutral
@user Koraha👋urumuntu w'umugabo niba bose babimenyaga ntawazongera kwiyahura👀	positive
Hawa nao wana ni tempt na loan kubwa hivi ...	neutral
@user Uwo kurara tugenda, bazubake comptoire muri free zone twinywere twisanzuye tubyina.	negative
Ntugate umwanya wae wigisha cg uhanura udashaka guhinduka ... Kuko ntibishoboka ko wahindura umuntu mudahuje imico😔	negative
@user Rayon imyenda tadusaziyeho peee!! Uziko ku mupira wa Mico izina Rayon ryasibye!!! Shameful for @user	negative
Umwana wese afite ubu burenganzira yaba ikiciro 1,2 gukomeza Umwana ahava akajyera agomba kwitabwaho Neza. @user Murakoze https://t.co/V576zIv76x	positive
@user Umurenge wa Rwerere ufite ubuyobozi kd nta mukozi uri hejuru y'ubuyobozi, sinzi niba warahageze ntiwakirwe cg ukakirwa nabi? #umuturagekwisonga #Rwerere niyontego https://t.co/FCwJpbLrRG	neutral
@user @user @user Ndabyumva. Joe yaratunguranye agenda abantu batazi bazi ko anarwaye, none ndebera na Jay	negative
@user biroroshye, Nusoza akazi ufate akamoto kakugeze kuri Nyabarongo.	positive
@user Ngaho ndebera 🙄😹🙄 Ubu njye nkina amakarita nirukanywe mw'irindo ry'umwuga.(retired)	negative
Kurikira gahunda y'imikino ishyushye StarTimes igufitiye kuri shene zayo za siporo. 📺😊 Online via StarTimes ON: https://t.co/N3uk6f6twg https://t.co/X758y86wyi	neutral
Turacyakomeza gusoma cya gitabo iri ni iriburiro. Buri wese naze yihahire ubumenyi bwuje inama kwa Hon. @user https://t.co/IWUH8ntMSD	positive
@user @user @user Kwinjira mu Rwanda uturutse hanze yarwo bisaba kuzuza Passenger Locator Form nk’uko bisanzwe.	neutral
@user @user Wagiye ureka gu controrwa n'umunwa ahubwo umunwa ukawucontrola ahubwo. Ubu kuvuga uko urumva bikubahishije??	negative
@user @user @user @user Ubundise sukubatora bakizamurira iterambere ryimifuka yabo gusa nokudukiza amazi yibiza ntibyabananiye	negative
Banyarwanda, Umunsi mwiza w'Intwari! Ntituzibagirwa na rimwe Intwari z'u #Rwanda, zitanze ngo rweme twemarare🇷🇼 https://t.co/vnfM7MKWOT	positive
@user Ntabwo bakwifuza ko amahoro aboneka kuko imbehe yabo yahita yubama.	negative
Bro ushobora kwiyahura ugapfa, EX wawe akaza kugushyingura Ari kumwe na boyfriend we mushyashya😒 Njye bimaze kumbaho kabiri😭😭. @user 💋💋	negative
@user Nyamara ubanza kadahenze cyane, twa tumiliyoni duke ufite kuri konti turahagije	neutral
@user Congratulations... Amatora y'inzego z'ibanze ni vuba . Urangirije igihe ngo tukugire mayor.	positive
Mwiriwe mute? Turi mu makuru yaranze umunsi muri Siporo, @user na @user Shyira kuri 91.5Fm - 105.5Fm - https://t.co/2tvDwEimJN https://t.co/KFOO6vqdgH	neutral
@user @user @user @user Uyu muyaga wa nyamwigendaho uri gutwara abantu bibwira ko aribyo bitumva bumva igisobanuro cy’ubuzima.	negative
Ese wowe nuwo mwashakanye(umugore cg umugabo) mwahitamo ko babatwitira umwana (surrogate)? @user @user @user @user @user @user @user @user @user @user @user @user @user #RwOT #surrogacy https://t.co/wm3GS9yxA4	neutral
@user @user @user Byose baguhaye harimo na #Rwandair kandi n'ingagi bazita imwe #Sugira https://t.co/3ohaOh91Q6	neutral
@user Ubundi rero uko Kwizera ubanza mwari ukwaba kera peee https://t.co/YKlzzf4vKd	neutral
Uyu munsi ninde wakubeshye nturabukwe? Cyangwa umunsi wo kubeshya waribagiranye!	negative
@user Nta big four izabona ahubwo cr7 nareba nabi azakina Europa league 😂😂😂	neutral
@user @user @user @user Wowe se uri ikiii☹️☹️😂😂😂	neutral
Dore abazi mayi geri yanyayo aho yakuwe ngo ijye ikoreshwa mu mirwano n'imikino njya rugamba https://t.co/DnQqmhFBlJ	neutral
@user Good morning, mwatumenyera uko tuzabona inkunga ya Leta kubantu bagifite ubudehe category kiri kumwe nicya babyeyi???	neutral
Ejo umperekeze nijyanire phone yashaje narinarabuze aho nyishyira🙆🏾‍♀️ Nzaba ntanze umusanzu muri #GreenRwanda kandi binangire n'umunyamahirwe! #RecycleRevolution🔁 https://t.co/lMYhZYpavU	positive
@user Twavuze aho umuntu ava. Gusa ariko nubundi nari nsanzwe ndi mu nda ya Mama. Nonese abagore nta ntanga bagira?	negative
Nyamara muve mubyo gutegereza ya pusi murebe uko mwaremera uyu mutype @user https://t.co/tvMhJRMJBL	negative
Nubwo bamwe bafite inkovu k'umutima Abandi k'umubiri. Duhuza ibitecyerezo. Gusa iyo k'umubiri ntisibangana💕. 🇷🇼 Genocide #NeverAgain	neutral
#Egypt ya @user nayo yaratsizwe nankaswe bo... Let's trust the process https://t.co/7e6MLsHI2r	neutral
@user @user @user @user Mva ku izima gute Kandi ndi mu kuri??	positive
Les jurons que j’ai encaissé last night 💀💀😭😭😭 Iyo ibitutsi biba byica mba napfuye nkazuka nkongera ngapfa 💀	negative
@user @user Nanjye nahamya ko uwatanze iyo ruswa bigacamo ahita anyurwa. Bariya ni uburakari bw'uko bariwe bagatahira aho.	negative
@user @user @user @user @user Uti rero ibyo akwirakwiza ni ukuri cg ni ibinyoma? Dusobanurire with facts	neutral
@user Ni ukuri rwose wihangane pe 🙏	neutral
@user @user Ko mbona nta mikosorere yawe se???😭	negative
👊👊desto &amp;2M # kumuhigo wo gukabya inzozi💥 @user Kigali, Rwanda https://t.co/2b2slW9bPP	neutral
@user Ndashaka kuzareba umuntu uha ruswa ngo ujue mu ijuru 😂😂😂😂😂😂	negative
@user Hahahah. Icyo kizere ndagishaka pe	positive
Mwaramutse, @user iyo umuntu amaze kwishyura dosiye ayitegereza igihe kingana gute?	neutral
Ark ngew mbona abarimu bigisha mut leta icyongereza ni gifaransa bahemberwa ubusa pe kuko ntamusaruro wabo tubona @user @user @user	negative
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Aha niho itandukanira n'izayibanjirije!! Amagambo make, ibikorwa akaba aribyo bivuga. Nayiha kuyishyigikira no kurinda ibyagezweho. #RwOT @user @user @user @user @user	positive
Harya tuvuge ibintu dusubire ibindi..... abantu bavugaga Rwanda 3 Uganda 1 .... 3 bya Rwanda byagiye hehe 🤣🤣🤣 @user and @user	negative
@user Bulls twarikuyitsinda byoroshye iyo green aba ahari	neutral
Dore ibanga ryagufasha kuzigama 58% bya fagitire z’amazi wishyuraga buri kwezi! Utuyunguruzo https://t.co/O7kiKd8ADj tuyungurura burundu amazi y’imvura ukaba wayatekesha, wayanywa, n’ibindi. Gura ubu uhabwe inkunga igera kuri 50%. Kubindi bisobanuro; +250780303482 | @user https://t.co/4L8qVkYFWB	positive
@user @user OPC ni he bro?	neutral
@user Rimwe na rimwe mba mbona ufite ubwenge... nawe watorokanye cash za RNP ubutabera buragutegereje.	positive
@user @user @user @user Ubwo tuzajya twikoreshereza gakondo dore nubundi urukingo ruri kutugeraho gake gake	neutral
"Munyemerere Tuganire kandi twungurane ubumenyi! Ikibazo cyanjye kiragira kiti """"Ese Kwicuza ni bibi Cg biterwa n'Icyo wicuza? #Philosophy #KNOWLEDGE #spirit"	neutral
Ariko ibyo ahimba byose, ajye agerageza nibura gushyiramo ubwenge! Hari ikintu udashobora kubeshya ngo gifate. https://t.co/Tkkkkukx53	negative
Ibiciro byagabanyijwe bikabije.. igurire mudasobwa kuri make .. @user Rwanda the Heart of Africa https://t.co/l6tZFaiPuB	neutral
@user Nkubu bakaba Ari abanjye	neutral
#BIRAVUGWA Aka kanya turi kuganira ku avansi ya 2 y’umusoro ku nyungu, menya itariki ntarengwa binyuze muri ikiganiro https://t.co/7JUDQQSL5A https://t.co/hYwkO6u7MF	neutral
Nyamara kariya ka app karatuma amafaranga atinjira uko bisanzwe.	negative
@user @user Nta kuri yavuze pe! Ahubwo nanze ikinyabupfura gike.	positive
@user Kugenda namaguruse bobakaba bajyana nimodoka aho bagiye hose batitaye kubwurwo rugendo ukorungana urumva mwahurirahe	negative
@user Yoooo.... urakoze cyane mama. Nawe Imana izaguhe ibizakubaka rwose.	positive
@user Nubwo Imana igira inzira zirenze 1000 iyo ntayirimo	negative
@user @user Abantu banakurikira uburyo yari yasobanuye ibindi hano https://t.co/tDzv1670xu	neutral
Arko imbeba ko bazigeragerezaho inkingo mukaba mukomeje kuzica nizishira bizagenda bite	negative
🚨AMAKURU MASHYA🚨 Inama y'Abaminisitiri yatangaje ko bitakiri itegeko kwambara agapfukamunwa. #RBAAmakuru https://t.co/dP9HCHHTpf	positive
@user MN iyo technics irikunkorera😱	positive
@user Ikibazo ni umuriro waho😂😂😂💀!	negative
@user Niwe warokotse wenyine kuko yasigaye akora akazi ka jack Leonardo du caprion	neutral
Igurire dekoderi N’Abonema bya @user kuri 15K gusa , Iyi poromisiyo yatangiye Uyu munsi ntigucike kuko muri sitoke zirabaze. @user @user @user @user @user @user @user @user @user @user @user https://t.co/VqupZ8XoKa	neutral
Ese ujya utekereza ko ba bakobwa ahita wirukiramo iyo wagafashe umunsi byanze ntawuzagusanga??	negative
