text,label,clean_text
"Rutayomba warerewe muri @user n’umufasha we barwaye bikomeye, basabye gufashwa kwivuza- https://t.co/c5Gef7HZQE",neutral,rutayomba warerewe muri numufasha barwaye bikomeye basabye gufashwa kwivuza
Maze ndumigwaga kokoooo😂😂😂😂😂😂 Caze kanigire guhiga umuceri mvabo ubusutwa aha😂😂 https://t.co/W4p9TYwF4V,negative,maze ndumigwaga kokoooo caze kanigire guhiga umuceri mvabo ubusutwa aha
"Ubushobozi bwawe ntibugaragarira mu ntege nye z'undi. Aho kunenga gusa, wakora neza bakakwigiraho.",positive,ubushobozi bwawe ntibugaragarira ntege nye zundi aho kunenga gusa wakora neza bakakwigiraho
"@user Nese umuntu utareba arandika, gusa ahubwo urabyumva bro😂🤣🔥, anyway mu ijuru uzababona",positive,nese umuntu utareba arandika gusa ahubwo urabyumva bro ijuru uzababona
Komeza wese imihigo nkuba y'inkubiri. Ishema rya njye ni ukumva ko uzwi kw'ishuri nk'umwana uvuga ikinyarwanda kiza.#Ikinyarwandacyacu #uburere #uburezi https://t.co/5CN44bjKWh,positive,komeza wese imihigo nkuba yinkubiri ishema rya njye ni ukumva ko uzwi kwishuri nkumwana uvuga ikinyarwanda kizaikinyarwandacyacu uburere uburezi
"@user Ikaze wa mwenge we wuje impanuro, tubitezeho byinshi mubyeyi. https://t.co/zAtBORUW6R 📹: @user",positive,ikaze wa mwenge wuje impanuro tubitezeho byinshi mubyeyi
@user Uzazamuke mu étage ya gatanu hanyuma usimbukire hasiiiiii,negative,uzazamuke étage gatanu hanyuma usimbukire hasiiiiii
BURYA KOKO IMANA IBAHO! Ubu ni ubuhamya bwa Pelagie wo mu Murenge wa @user washyikirijwe inzu yasaniwe na @user kubufatanye n'umurenge! https://t.co/SuoG4d4Qh5 @user @user @user @user @user @user @user,positive,burya koko imana ibaho ubu ni ubuhamya bwa pelagie wo murenge wa washyikirijwe inzu yasaniwe kubufatanye numurenge
@user Iki kigabo kigiye igifaransa muri ma colline na Horizon 😂😂🤣.,negative,iki kigabo kigiye igifaransa muri ma colline horizon
@user @user Sorry basi😭🤦 Ariko izo chiffres zirinze imibare irenze 4 😹😹??,neutral,sorry basi ariko izo chiffres zirinze imibare irenze
@user None ibyo bigabo biryamana nu Dukobwa duto byo urabitecyerezaho ki?🤔🤔😏 tuba twishyuranana😣😪🙃🙃🙃💁💁🙅🙌,negative,ibyo bigabo biryamana nu dukobwa duto byo urabitecyerezaho ki tuba twishyuranana
@user @user @user Koko c ko mbona mbs zigenda,neutral,koko c ko mbona mbs zigenda
Rema wakoranye indirimbo na The Ben yibarutse nyuma yo gutandukana na Eddy Kenzo agashaka undi mugabo. #isangonamuzika https://t.co/vfXGb2Rz6y,neutral,rema wakoranye indirimbo ben yibarutse nyuma gutandukana eddy kenzo agashaka undi mugabo isangonamuzika
@user @user Birashimishije kandi biratanga icyizere cy'aho tugana! Kureba kure no guhuza imvugo n'ingiro niyo ntego nkuru.,positive,birashimishije biratanga icyizere cyaho tugana kureba kure guhuza imvugo ningiro niyo ntego nkuru
Guma mukarere ishobora gukurikirwa na Guma murugo https://t.co/2PH65C4Xb4,neutral,guma mukarere ishobora gukurikirwa guma murugo
@user So ukubeshya RIB Ikwiye kugororerwa birenze rwose ibyo bakora harimo ubuhanga nubunyangamugayo,positive,ukubeshya rib ikwiye kugororerwa birenze ibyo bakora harimo ubuhanga nubunyangamugayo
@user @user @user @user @user @user @user @user Murakoze cyane ku bw’ ubusobanuro muduhaye🙏🏾,positive,murakoze bw ubusobanuro muduhaye
@user nyamara mukomereje aha haricyahinduka cyanecyane mumavubi https://t.co/81p15M9osC,positive,nyamara mukomereje aha haricyahinduka cyanecyane mumavubi
